id,name
0,bouncing on trampoline
1,breakdancing
2,busking
3,cartwheeling
4,cleaning shoes
5,country line dancing
6,drop kicking
7,gymnastics tumbling
8,hammer throw
9,high kick
10,jumpstyle dancing
11,kitesurfing
12,parasailing
13,playing cards
14,playing cymbals
15,playing drums
16,playing ice hockey
17,robot dancing
18,shining shoes
19,shuffling cards
20,side kick
21,ski jumping
22,skiing (not slalom or crosscountry)
23,skiing crosscountry
24,skiing slalom
25,snowboarding
26,somersaulting
27,tap dancing
28,throwing ball
29,throwing discus
30,vault
31,wrestling
