id,name
0,Folding something
1,Turning the camera upwards while filming something
2,Pouring something into something
3,Pretending to throw something
4,Squeezing something
5,Holding something in front of something
6,Touching (without moving) part of something
7,Lifting up one end of something without letting it drop down
8,Showing something next to something
9,Poking something so that it falls over
10,Wiping something off of something
11,Scooping something up with something
12,Letting something roll down a slanted surface
13,Sprinkling something onto something
14,Pushing something so it spins
15,Twisting (wringing) something wet until water comes out
